ISO,Country,Data source,Sector,Gas,Unit,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
CHN,China,Climate Watch,Energy,All GHG,MtCO₂e,10556.44,10378.27,9899.25,9684.34,9729.44,9839.29,9821.45,9400.86,9149.77,8372.16,7634.68,7152.46,6950.16,6413.13,5829.47,5125.3,4411.73,3818.51,3553.04,3387.35,3200.39,3303.33,3215.37,3159.77,3189.31,2866.98,2757.63,2543.2,2446.89,2332.87
USA,United States,Climate Watch,Energy,All GHG,MtCO₂e,5268.41,5389.97,5187.82,5248.54,5364.49,5476.86,5438.79,5289.95,5496.63,5698.17,5444.7,5841.08,6008.78,5915.64,6014.38,5997.73,5919.17,5853.84,6014.99,6044.24,5875.01,5862.85,5817.87,5547.22,5388.85,5335.42,5257.87,5149.38,5076.9,5114.63
EUU,European Union (27),Climate Watch,Energy,All GHG,MtCO₂e,2739.25,2876.26,2941.42,2920.23,2911.0,2851.58,3003.81,3079.87,3135.52,3232.87,3144.1,3376.55,3447.26,3494.3,3487.88,3503.86,3505.44,3413.75,3420.95,3361.58,3355.22,3415.23,3428.49,3503.51,3397.68,3349.51,3368.81,3427.13,3552.6,3587.76
IND,India,Climate Watch,Energy,All GHG,MtCO₂e,2432.88,2469.49,2332.55,2219.94,2186.68,2173.39,2002.18,1945.56,1799.36,1704.65,1609.43,1466.85,1379.23,1256.83,1180.34,1131.16,1058.71,1031.77,999.77,984.46,948.39,888.07,874.54,829.33,794.81,741.92,708.38,685.17,670.08,626.41
RUS,Russia,Climate Watch,Energy,All GHG,MtCO₂e,2175.29,2124.98,2034.27,1998.04,2001.25,2011.64,2033.67,2076.85,2110.37,2023.54,1941.79,2056.7,2065.99,2056.26,2018.84,1991.22,1988.73,1913.67,1904.0,1888.98,1842.91,1802.32,1798.23,1921.84,1958.35,2015.72,2219.69,2381.83,2540.71,2598.11
CHN,China,Climate Watch,Industrial Processes,All GHG,MtCO₂e,1213.39,1150.09,1128.59,1106.88,1075.58,1104.13,1058.98,1002.33,975.36,885.58,808.64,730.0,698.16,632.32,552.88,492.82,461.25,373.39,344.63,301.37,277.78,253.39,237.4,219.9,204.11,180.08,157.02,135.16,112.6,94.35
JPN,Japan,Climate Watch,Energy,All GHG,MtCO₂e,1064.13,1101.9,1141.83,1156.06,1168.95,1208.01,1258.1,1246.12,1205.98,1149.38,1093.1,1146.71,1214.27,1177.79,1199.93,1192.49,1198.38,1190.4,1153.96,1165.35,1149.86,1110.39,1148.19,1158.33,1143.94,1133.2,1080.49,1087.42,1077.35,1065.15
IDN,Indonesia,Climate Watch,Land-Use Change and Forestry,All GHG,MtCO₂e,891.35,661.53,480.33,514.87,1141.12,1102.32,771.88,798.29,782.89,293.85,673.96,294.15,304.12,872.64,474.34,745.58,404.52,760.89,276.75,462.12,536.83,664.91,1440.8,495.54,665.12,663.66,663.68,663.69,663.69,663.69
IRN,Iran,Climate Watch,Energy,All GHG,MtCO₂e,766.31,757.18,765.92,735.6,700.51,700.8,669.68,650.13,654.74,644.37,646.79,629.52,622.24,592.01,555.19,517.58,485.19,451.54,439.7,427.85,404.66,373.69,377.97,366.22,356.53,352.05,321.92,313.86,296.02,269.48
IND,India,Climate Watch,Agriculture,All GHG,MtCO₂e,731.75,722.09,712.76,704.92,703.96,699.2,697.62,695.08,701.28,690.91,680.87,686.83,679.15,661.96,647.23,627.86,618.26,606.58,622.57,617.43,622.77,619.17,611.91,606.54,599.02,594.6,586.6,579.89,573.39,566.01
IDN,Indonesia,Climate Watch,Energy,All GHG,MtCO₂e,704.21,660.46,596.9,570.92,577.93,580.17,551.89,580.49,573.84,500.27,468.91,445.78,449.92,434.07,402.63,397.02,388.6,358.01,353.42,332.69,334.41,316.9,312.79,287.99,273.09,247.78,232.59,218.07,208.26,190.74
DEU,Germany,Climate Watch,Energy,All GHG,MtCO₂e,659.57,708.86,733.49,748.94,744.05,737.42,779.43,762.3,748.2,776.61,737.5,792.15,785.26,817.2,804.62,822.25,838.76,835.71,849.43,830.01,832.92,864.97,872.77,904.93,873.77,875.1,887.33,893.18,934.69,956.8
CHN,China,Climate Watch,Agriculture,All GHG,MtCO₂e,627.5,674.22,684.72,698.71,699.38,692.06,691.1,691.41,689.9,695.63,694.89,693.49,681.07,689.62,687.51,679.74,661.23,671.76,666.27,677.31,689.28,669.35,646.67,714.89,672.06,612.91,592.86,605.57,601.0,590.66
KOR,South Korea,Climate Watch,Energy,All GHG,MtCO₂e,595.91,614.34,608.79,597.66,590.99,571.49,583.58,584.47,582.55,559.47,510.42,497.26,485.81,472.74,465.55,467.77,443.81,441.65,442.06,433.83,385.7,350.97,410.27,389.79,365.78,336.92,313.88,288.74,272.5,250.79
BRA,Brazil,Climate Watch,Agriculture,All GHG,MtCO₂e,504.86,492.99,502.98,498.28,496.59,494.78,485.38,489.05,488.27,490.52,459.67,460.25,469.26,459.05,467.78,463.14,439.87,421.66,397.56,379.66,375.19,373.11,362.41,354.3,372.53,366.49,358.48,356.74,350.69,339.62
BRA,Brazil,Climate Watch,Energy,All GHG,MtCO₂e,462.36,462.57,485.04,471.92,507.78,529.82,504.17,472.47,437.32,417.57,368.91,392.76,370.88,355.0,351.27,346.68,328.11,332.57,330.72,323.34,308.75,297.09,287.07,268.3,248.08,230.46,222.64,215.71,211.34,204.64
BRA,Brazil,Climate Watch,Land-Use Change and Forestry,All GHG,MtCO₂e,397.9,389.16,400.36,394.86,276.14,269.33,265.57,274.35,268.23,1127.26,1104.66,1109.96,1126.83,1111.23,1124.04,1119.37,1116.39,1118.25,1109.74,1041.6,1058.61,1064.73,1053.37,1050.7,1052.09,1052.09,1052.09,1052.07,1052.07,1052.07
EUU,European Union (27),Climate Watch,Agriculture,All GHG,MtCO₂e,394.12,395.43,404.97,404.47,405.2,401.81,397.3,394.34,394.5,401.32,400.59,407.65,412.14,406.77,410.5,417.9,418.75,423.0,426.74,433.32,438.13,441.02,445.5,446.95,443.68,450.89,456.37,471.28,495.73,521.0
USA,United States,Climate Watch,Agriculture,All GHG,MtCO₂e,377.26,379.5,373.33,374.66,364.19,363.4,363.92,365.64,369.82,370.83,368.31,366.69,371.24,371.05,364.76,365.12,366.5,359.87,360.37,362.52,368.39,370.85,372.32,373.71,369.32,371.11,361.19,360.06,352.62,356.33
ITA,Italy,Climate Watch,Energy,All GHG,MtCO₂e,319.76,327.61,332.11,336.0,340.26,329.29,348.47,377.98,394.98,404.08,395.5,441.45,453.75,461.0,468.2,465.96,456.42,437.38,429.97,430.31,427.55,421.58,410.75,407.44,410.27,387.23,391.51,394.35,396.65,397.45
FRA,France,Climate Watch,Energy,All GHG,MtCO₂e,302.18,308.6,319.62,315.61,312.84,307.07,340.08,339.34,335.05,349.48,345.17,358.32,362.3,371.16,380.83,378.06,377.45,371.45,377.4,373.76,375.83,381.91,360.29,369.33,353.1,345.01,350.82,369.42,380.64,354.84
POL,Poland,Climate Watch,Energy,All GHG,MtCO₂e,295.74,313.15,313.75,301.05,290.19,286.68,300.23,304.9,311.02,315.62,298.89,308.93,313.35,315.38,303.1,303.31,299.45,288.81,294.79,295.51,309.29,318.54,345.05,356.77,340.73,340.45,346.71,344.26,352.62,350.39
EUU,European Union (27),Climate Watch,Bunker Fuels,All GHG,MtCO₂e,263.79,262.68,252.47,242.18,233.11,227.81,230.57,237.73,249.3,247.05,245.02,271.6,271.54,260.17,245.36,238.8,225.53,218.8,216.26,214.22,201.04,200.12,190.92,179.6,171.85,168.18,165.91,163.37,158.64,160.23
USA,United States,Climate Watch,Industrial Processes,All GHG,MtCO₂e,238.67,231.67,227.96,222.02,221.22,219.36,209.35,210.15,217.0,204.59,190.55,208.91,221.72,208.39,204.42,199.03,191.49,202.07,192.09,208.7,206.14,209.71,198.51,197.28,187.54,165.51,160.57,157.31,154.31,164.71
ESP,Spain,Climate Watch,Energy,All GHG,MtCO₂e,237.8,253.76,260.24,243.65,253.05,238.09,241.17,267.04,271.52,268.57,282.46,315.68,343.91,330.95,339.65,325.16,308.43,302.94,285.46,284.22,269.42,247.88,241.47,223.59,233.79,222.7,213.96,228.01,216.1,208.49
CHN,China,Climate Watch,Waste,All GHG,MtCO₂e,203.54,197.57,191.61,185.65,179.68,174.62,169.55,164.48,158.46,152.44,146.41,140.39,134.37,128.34,122.32,130.79,139.27,147.74,156.22,164.69,172.86,181.03,189.2,197.38,205.55,213.71,208.96,204.21,199.46,194.71
IND,India,Climate Watch,Industrial Processes,All GHG,MtCO₂e,168.55,162.24,142.62,143.31,135.89,133.32,124.45,115.99,106.23,100.08,94.85,86.35,80.97,77.08,71.39,67.2,62.51,60.7,58.29,57.48,55.06,48.46,45.8,41.42,37.39,34.29,31.9,30.06,29.0,26.45
EUU,European Union (27),Climate Watch,Industrial Processes,All GHG,MtCO₂e,160.55,167.38,172.86,177.5,177.42,182.79,177.33,180.58,184.19,185.92,193.84,220.7,234.5,224.22,223.15,220.25,212.32,208.25,208.85,213.12,209.91,219.15,235.44,234.05,228.43,220.55,208.1,210.52,203.59,216.9
IDN,Indonesia,Climate Watch,Agriculture,All GHG,MtCO₂e,151.06,155.08,149.79,140.75,144.09,143.08,137.83,144.13,140.74,138.12,137.74,133.19,130.48,129.49,127.49,127.86,123.51,124.71,121.48,122.8,123.47,125.27,122.4,127.04,123.94,117.93,116.9,119.41,112.08,112.73
USA,United States,Climate Watch,Bunker Fuels,All GHG,MtCO₂e,150.17,140.92,149.62,138.12,125.64,120.07,119.43,120.51,147.01,150.21,142.47,155.53,169.67,159.8,152.93,142.56,124.23,140.13,115.36,148.92,141.82,127.68,127.93,135.9,139.2,131.41,133.74,145.37,138.41,132.08
